City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
248,Luderitz,NA,2022-01-24 00:49:29,-26.6481,15.1594,75.34,65,12,7.05
249,Katete,UG,2022-01-24 00:49:30,-0.7818,29.7544,61.52,76,86,3.76
250,Montevideo,UY,2022-01-24 00:47:28,-34.8335,-56.1674,74.91,83,75,5.75
251,Takoradi,GH,2022-01-24 00:48:51,4.8845,-1.7554,78.42,86,5,4.14
252,Touros,BR,2022-01-24 00:49:30,-5.1989,-35.4608,81.5,74,10,10.83
253,Never,FR,2022-01-24 00:49:30,46.9896,3.159,28.15,95,2,4.41
254,Mtwara,TZ,2022-01-24 00:49:31,-10.2667,40.1833,76.89,88,88,14.76
255,Ambon,ID,2022-01-24 00:49:31,-3.6954,128.1814,87.94,70,20,3.44
256,Quatre Cocos,MU,2022-01-24 00:49:31,-20.2078,57.7625,78.91,78,14,8.41
257,Ust-Kuyga,RU,2022-01-24 00:49:32,70.0167,135.6,-14.57,99,100,5.95
258,Buchanan,LR,2022-01-24 00:49:32,5.8808,-10.0467,76.59,85,1,2.98
259,Chornobay,UA,2022-01-24 00:49:33,49.6708,32.3239,16.38,93,91,13.02
260,Xinzhou,CN,2022-01-24 00:49:33,38.4092,112.7333,31.26,77,81,1.03
261,San Cristobal,VE,2022-01-24 00:49:33,7.7669,-72.225,73.58,77,100,0.94
262,Kawalu,ID,2022-01-24 00:49:34,-7.3817,108.2082,78.84,80,95,1.03
263,Camana,PE,2022-01-24 00:49:34,-16.6228,-72.7111,72.34,84,100,6.85
264,Fortuna,US,2022-01-24 00:48:59,40.5982,-124.1573,64.74,69,0,0.85
265,Port Shepstone,ZA,2022-01-24 00:49:35,-30.7414,30.455,71.94,79,1,19.98
266,Havre-Saint-Pierre,CA,2022-01-24 00:49:35,50.2334,-63.5986,21.2,63,75,9.22
267,Ishigaki,JP,2022-01-24 00:50:36,24.3448,124.1572,71.73,78,75,6.91
268,Tuatapere,NZ,2022-01-24 00:50:36,-46.1333,167.6833,63.82,50,6,6.46
269,Burnie,AU,2022-01-24 00:50:37,-41.0667,145.9167,73.94,53,92,7.18
270,Constitucion,CL,2022-01-24 00:45:56,-35.3333,-72.4167,58.48,86,0,15.61
271,Alta Floresta,BR,2022-01-24 00:50:37,-9.8756,-56.0861,71.73,96,24,1.43
272,Port Hardy,CA,2022-01-24 00:50:37,50.6996,-127.4199,39.38,100,100,4.61
273,Constantine,DZ,2022-01-24 00:50:38,36.365,6.6147,38.61,70,20,2.3
274,Mecca,SA,2022-01-24 00:50:38,21.4267,39.8261,66.22,74,0,5.79
275,Uppsala,SE,2022-01-24 00:50:38,60.0,17.75,34.63,93,100,10.36
276,Novyy Urgal,RU,2022-01-24 00:50:39,51.0736,132.5642,-19.5,97,96,1.21
277,Skjervoy,NO,2022-01-24 00:50:39,70.0311,20.9714,39.0,87,100,47.74
278,Iracoubo,GF,2022-01-24 00:50:39,5.4802,-53.2011,75.43,90,31,7.72
279,Santo Domingo,DO,2022-01-24 00:46:49,18.5001,-69.9886,78.04,74,0,1.01
280,Eenhana,NA,2022-01-24 00:50:40,-17.4667,16.3333,65.95,59,89,6.02
